
Label=gain_vs_2_pi_freq
LabelX=2*PI*F
LabelY=dB(v(V_out))
Data Point Count=1001
F,2*PI*F,2*PI*F,dB(v(V_out)),dB(v(V_out))
 1.0000000000000000E+002, 6.2831853071795865E+002, 0.0000000000000000E+000,-1.9653577192140073E-002, 0.0000000000000000E+000
 1.0053123782720847E+002, 6.3165639642849294E+002, 0.0000000000000000E+000,-1.9856693314291129E-002, 0.0000000000000000E+000
 1.0106529779070752E+002, 6.3501199414430300E+002, 0.0000000000000000E+000,-2.0061948600022080E-002, 0.0000000000000000E+000
 1.0160219488275264E+002, 6.3838541806450837E+002, 0.0000000000000000E+000,-2.0269365313981207E-002, 0.0000000000000000E+000
 1.0214194417524389E+002, 6.4177676288864996E+002, 0.0000000000000000E+000,-2.0478965946561997E-002, 0.0000000000000000E+000
 1.0268456082014895E+002, 6.4518612381934850E+002, 0.0000000000000000E+000,-2.0690773216725435E-002, 0.0000000000000000E+000
 1.0323006004992847E+002, 6.4861359656497689E+002, 0.0000000000000000E+000,-2.0904810073729931E-002, 0.0000000000000000E+000
 1.0377845717796372E+002, 6.5205927734234751E+002, 0.0000000000000000E+000,-2.1121099699348236E-002, 0.0000000000000000E+000
 1.0432976759898641E+002, 6.5552326287941230E+002, 0.0000000000000000E+000,-2.1339665510647775E-002, 0.0000000000000000E+000
 1.0488400678951092E+002, 6.5900565041797893E+002, 0.0000000000000000E+000,-2.1560531161419601E-002, 0.0000000000000000E+000
 1.0544119030826870E+002, 6.6250653771644045E+002, 0.0000000000000000E+000,-2.1783720544884169E-002, 0.0000000000000000E+000
 1.0600133379664510E+002, 6.6602602305251935E+002, 0.0000000000000000E+000,-2.2009257796222259E-002, 0.0000000000000000E+000
 1.0656445297911840E+002, 6.6956420522602662E+002, 0.0000000000000000E+000,-2.2237167294308295E-002, 0.0000000000000000E+000
 1.0713056366370127E+002, 6.7312118356163501E+002, 0.0000000000000000E+000,-2.2467473664573957E-002, 0.0000000000000000E+000
 1.0769968174238450E+002, 6.7669705791166780E+002, 0.0000000000000000E+000,-2.2700201780816078E-002, 0.0000000000000000E+000
 1.0827182319158318E+002, 6.8029192865890138E+002, 0.0000000000000000E+000,-2.2935376767959051E-002, 0.0000000000000000E+000
 1.0884700407258515E+002, 6.8390589671938358E+002, 0.0000000000000000E+000,-2.3173024004562108E-002, 0.0000000000000000E+000
 1.0942524053200187E+002, 6.8753906354526623E+002, 0.0000000000000000E+000,-2.3413169124585326E-002, 0.0000000000000000E+000
 1.1000654880222172E+002, 6.9119153112765355E+002, 0.0000000000000000E+000,-2.3655838020265812E-002, 0.0000000000000000E+000
 1.1059094520186567E+002, 6.9486340199946505E+002, 0.0000000000000000E+000,-2.3901056844766080E-002, 0.0000000000000000E+000
 1.1117844613624537E+002, 6.9855477923831393E+002, 0.0000000000000000E+000,-2.4148852014213698E-002, 0.0000000000000000E+000
 1.1176906809782371E+002, 7.0226576646940055E+002, 0.0000000000000000E+000,-2.4399250210069952E-002, 0.0000000000000000E+000
 1.1236282766667775E+002, 7.0599646786842152E+002, 0.0000000000000000E+000,-2.4652278382127628E-002, 0.0000000000000000E+000
 1.1295974151096421E+002, 7.0974698816449427E+002, 0.0000000000000000E+000,-2.4907963750816931E-002, 0.0000000000000000E+000
 1.1355982638738736E+002, 7.1351743264309698E+002, 0.0000000000000000E+000,-2.5166333809454870E-002, 0.0000000000000000E+000
 1.1416309914166943E+002, 7.1730790714902378E+002, 0.0000000000000000E+000,-2.5427416327244694E-002, 0.0000000000000000E+000
 1.1476957670902350E+002, 7.2111851808935694E+002, 0.0000000000000000E+000,-2.5691239351526566E-002, 0.0000000000000000E+000
 1.1537927611462888E+002, 7.2494937243645279E+002, 0.0000000000000000E+000,-2.5957831210580130E-002, 0.0000000000000000E+000
 1.1599221447410910E+002, 7.2880057773094563E+002, 0.0000000000000000E+000,-2.6227220516043936E-002, 0.0000000000000000E+000
 1.1660840899401235E+002, 7.3267224208476637E+002, 0.0000000000000000E+000,-2.6499436165731187E-002, 0.0000000000000000E+000
 1.1722787697229451E+002, 7.3656447418417702E+002, 0.0000000000000000E+000,-2.6774507346440640E-002, 0.0000000000000000E+000
 1.1785063579880475E+002, 7.4047738329282254E+002, 0.0000000000000000E+000,-2.7052463535799150E-002, 0.0000000000000000E+000
 1.1847670295577369E+002, 7.4441107925479753E+002, 0.0000000000000000E+000,-2.7333334506075554E-002, 0.0000000000000000E+000
 1.1910609601830419E+002, 7.4836567249772986E+002, 0.0000000000000000E+000,-2.7617150326269959E-002, 0.0000000000000000E+000
 1.1973883265486467E+002, 7.5234127403588093E+002, 0.0000000000000000E+000,-2.7903941364903467E-002, 0.0000000000000000E+000
 1.2037493062778516E+002, 7.5633799547326169E+002, 0.0000000000000000E+000,-2.8193738292974474E-002, 0.0000000000000000E+000
 1.2101440779375592E+002, 7.6035594900676597E+002, 0.0000000000000000E+000,-2.8486572086431489E-002, 0.0000000000000000E+000
 1.2165728210432867E+002, 7.6439524742931997E+002, 0.0000000000000000E+000,-2.8782474029118363E-002, 0.0000000000000000E+000
 1.2230357160642059E+002, 7.6845600413304828E+002, 0.0000000000000000E+000,-2.9081475715746014E-002, 0.0000000000000000E+000
 1.2295329444282090E+002, 7.7253833311245774E+002, 0.0000000000000000E+000,-2.9383609054418551E-002, 0.0000000000000000E+000
 1.2360646885270019E+002, 7.7664234896763696E+002, 0.0000000000000000E+000,-2.9688906269881687E-002, 0.0000000000000000E+000
 1.2426311317212239E+002, 7.8076816690747353E+002, 0.0000000000000000E+000,-2.9997399906035348E-002, 0.0000000000000000E+000
 1.2492324583455958E+002, 7.8491590275288820E+002, 0.0000000000000000E+000,-3.0309122829091359E-002, 0.0000000000000000E+000
 1.2558688537140939E+002, 7.8908567294008640E+002, 0.0000000000000000E+000,-3.0624108230284733E-002, 0.0000000000000000E+000
 1.2625405041251527E+002, 7.9327759452382668E+002, 0.0000000000000000E+000,-3.0942389628908940E-002, 0.0000000000000000E+000
 1.2692475968668941E+002, 7.9749178518070676E+002, 0.0000000000000000E+000,-3.1264000875411979E-002, 0.0000000000000000E+000
 1.2759903202223856E+002, 8.0172836321246689E+002, 0.0000000000000000E+000,-3.1588976153989194E-002, 0.0000000000000000E+000
 1.2827688634749254E+002, 8.0598744754931079E+002, 0.0000000000000000E+000,-3.1917349986151561E-002, 0.0000000000000000E+000
 1.2895834169133565E+002, 8.1026915775324483E+002, 0.0000000000000000E+000,-3.2249157233295286E-002, 0.0000000000000000E+000
 1.2964341718374078E+002, 8.1457361402143351E+002, 0.0000000000000000E+000,-3.2584433099950044E-002, 0.0000000000000000E+000
 1.3033213205630651E+002, 8.1890093718957462E+002, 0.0000000000000000E+000,-3.2923213136840601E-002, 0.0000000000000000E+000
 1.3102450564279690E+002, 8.2325124873529023E+002, 0.0000000000000000E+000,-3.3265533243370851E-002, 0.0000000000000000E+000
 1.3172055737968432E+002, 8.2762467078153816E+002, 0.0000000000000000E+000,-3.3611429672069398E-002, 0.0000000000000000E+000
 1.3242030680669504E+002, 8.3202132610003923E+002, 0.0000000000000000E+000,-3.3960939030620467E-002, 0.0000000000000000E+000
 1.3312377356735772E+002, 8.3644133811472420E+002, 0.0000000000000000E+000,-3.4314098285102422E-002, 0.0000000000000000E+000
 1.3383097740955489E+002, 8.4088483090519844E+002, 0.0000000000000000E+000,-3.4670944763441784E-002, 0.0000000000000000E+000
 1.3454193818607729E+002, 8.4535192921022497E+002, 0.0000000000000000E+000,-3.5031516158663845E-002, 0.0000000000000000E+000
 1.3525667585518119E+002, 8.4984275843122634E+002, 0.0000000000000000E+000,-3.5395850531894146E-002, 0.0000000000000000E+000
 1.3597521048114865E+002, 8.5435744463580488E+002, 0.0000000000000000E+000,-3.5763986315485857E-002, 0.0000000000000000E+000
 1.3669756223485086E+002, 8.5889611456128205E+002, 0.0000000000000000E+000,-3.6135962316571096E-002, 0.0000000000000000E+000
 1.3742375139431425E+002, 8.6345889561825550E+002, 0.0000000000000000E+000,-3.6511817720089643E-002, 0.0000000000000000E+000
 1.3815379834528977E+002, 8.6804591589417612E+002, 0.0000000000000000E+000,-3.6891592092418109E-002, 0.0000000000000000E+000
 1.3888772358182527E+002, 8.7265730415694429E+002, 0.0000000000000000E+000,-3.7275325383777293E-002, 0.0000000000000000E+000
 1.3962554770684068E+002, 8.7729318985852376E+002, 0.0000000000000000E+000,-3.7663057933094858E-002, 0.0000000000000000E+000
 1.4036729143270642E+002, 8.8195370313857597E+002, 0.0000000000000000E+000,-3.8054830469641678E-002, 0.0000000000000000E+000
 1.4111297558182491E+002, 8.8663897482811399E+002, 0.0000000000000000E+000,-3.8450684117671857E-002, 0.0000000000000000E+000
 1.4186262108721502E+002, 8.9134913645317431E+002, 0.0000000000000000E+000,-3.8850660399182738E-002, 0.0000000000000000E+000
 1.4261624899309973E+002, 8.9608432023850969E+002, 0.0000000000000000E+000,-3.9254801237495925E-002, 0.0000000000000000E+000
 1.4337388045549690E+002, 9.0084465911130053E+002, 0.0000000000000000E+000,-3.9663148960751127E-002, 0.0000000000000000E+000
 1.4413553674281317E+002, 9.0563028670488711E+002, 0.0000000000000000E+000,-4.0075746305058002E-002, 0.0000000000000000E+000
 1.4490123923644097E+002, 9.1044133736252013E+002, 0.0000000000000000E+000,-4.0492636418358208E-002, 0.0000000000000000E+000
 1.4567100943135878E+002, 9.1527794614113247E+002, 0.0000000000000000E+000,-4.0913862863641563E-002, 0.0000000000000000E+000
 1.4644486893673459E+002, 9.2014024881513103E+002, 0.0000000000000000E+000,-4.1339469622451198E-002, 0.0000000000000000E+000
 1.4722283947653241E+002, 9.2502838188020723E+002, 0.0000000000000000E+000,-4.1769501098426962E-002, 0.0000000000000000E+000
 1.4800494289012215E+002, 9.2994248255716923E+002, 0.0000000000000000E+000,-4.2204002121004350E-002, 0.0000000000000000E+000
 1.4879120113289278E+002, 9.3488268879579448E+002, 0.0000000000000000E+000,-4.2643017948815858E-002, 0.0000000000000000E+000
 1.4958163627686855E+002, 9.3984913927870150E+002, 0.0000000000000000E+000,-4.3086594273148149E-002, 0.0000000000000000E+000
 1.5037627051132867E+002, 9.4484197342524317E+002, 0.0000000000000000E+000,-4.3534777221667667E-002, 0.0000000000000000E+000
 1.5117512614343019E+002, 9.4986133139542108E+002, 0.0000000000000000E+000,-4.3987613362222011E-002, 0.0000000000000000E+000
 1.5197822559883423E+002, 9.5490735409381966E+002, 0.0000000000000000E+000,-4.4445149705936771E-002, 0.0000000000000000E+000
 1.5278559142233547E+002, 9.5998018317356161E+002, 0.0000000000000000E+000,-4.4907433711453497E-002, 0.0000000000000000E+000
 1.5359724627849511E+002, 9.6507996104028484E+002, 0.0000000000000000E+000,-4.5374513288071947E-002, 0.0000000000000000E+000
 1.5441321295227704E+002, 9.7020683085613962E+002, 0.0000000000000000E+000,-4.5846436799938654E-002, 0.0000000000000000E+000
 1.5523351434968751E+002, 9.7536093654380807E+002, 0.0000000000000000E+000,-4.6323253069230158E-002, 0.0000000000000000E+000
 1.5605817349841814E+002, 9.8054242279054358E+002, 0.0000000000000000E+000,-4.6805011380068803E-002, 0.0000000000000000E+000
 1.5688721354849238E+002, 9.8575143505223343E+002, 0.0000000000000000E+000,-4.7291761482396028E-002, 0.0000000000000000E+000
 1.5772065777291530E+002, 9.9098811955748124E+002, 0.0000000000000000E+000,-4.7783553595585899E-002, 0.0000000000000000E+000
 1.5855852956832706E+002, 9.9625262331171257E+002, 0.0000000000000000E+000,-4.8280438411979425E-002, 0.0000000000000000E+000
 1.5940085245565956E+002, 1.0015450941013012E+003, 0.0000000000000000E+000,-4.8782467100962235E-002, 0.0000000000000000E+000
 1.6024765008079680E+002, 1.0068656804977181E+003, 0.0000000000000000E+000,-4.9289691312597785E-002, 0.0000000000000000E+000
 1.6109894621523867E+002, 1.0122145318617020E+003, 0.0000000000000000E+000,-4.9802163181569693E-002, 0.0000000000000000E+000
 1.6195476475676824E+002, 1.0175917983474525E+003, 0.0000000000000000E+000,-5.0319935330725277E-002, 0.0000000000000000E+000
 1.6281512973012269E+002, 1.0229976309068451E+003, 0.0000000000000000E+000,-5.0843060875110854E-002, 0.0000000000000000E+000
 1.6368006528766765E+002, 1.0284321812936687E+003, 0.0000000000000000E+000,-5.1371593425744475E-002, 0.0000000000000000E+000
 1.6454959571007527E+002, 1.0338956020678859E+003, 0.0000000000000000E+000,-5.1905587093410220E-002, 0.0000000000000000E+000
 1.6542374540700581E+002, 1.0393880465999155E+003, 0.0000000000000000E+000,-5.2445096492551010E-002, 0.0000000000000000E+000
 1.6630253891779287E+002, 1.0449096690749375E+003, 0.0000000000000000E+000,-5.2990176745267847E-002, 0.0000000000000000E+000
 1.6718600091213227E+002, 1.0504606244972224E+003, 0.0000000000000000E+000,-5.3540883484877427E-002, 0.0000000000000000E+000
 1.6807415619077463E+002, 1.0560410686944820E+003, 0.0000000000000000E+000,-5.4097272860111123E-002, 0.0000000000000000E+000
 1.6896702968622148E+002, 1.0616511583222439E+003, 0.0000000000000000E+000,-5.4659401538963759E-002, 0.0000000000000000E+000
 1.6986464646342526E+002, 1.0672910508682485E+003, 0.0000000000000000E+000,-5.5227326712441051E-002, 0.0000000000000000E+000
 1.7076703172049292E+002, 1.0729609046568714E+003, 0.0000000000000000E+000,-5.5801106098714928E-002, 0.0000000000000000E+000
 1.7167421078939327E+002, 1.0786608788535671E+003, 0.0000000000000000E+000,-5.6380797946734187E-002, 0.0000000000000000E+000
 1.7258620913666815E+002, 1.0843911334693366E+003, 0.0000000000000000E+000,-5.6966461040476618E-002, 0.0000000000000000E+000
 1.7350305236414727E+002, 1.0901518293652205E+003, 0.0000000000000000E+000,-5.7558154702961398E-002, 0.0000000000000000E+000
 1.7442476620966696E+002, 1.0959431282568137E+003, 0.0000000000000000E+000,-5.8155938799407572E-002, 0.0000000000000000E+000
 1.7535137654779265E+002, 1.1017651927188058E+003, 0.0000000000000000E+000,-5.8759873742557617E-002, 0.0000000000000000E+000
 1.7628290939054529E+002, 1.1076181861895445E+003, 0.0000000000000000E+000,-5.9370020495291304E-002, 0.0000000000000000E+000
 1.7721939088813150E+002, 1.1135022729756238E+003, 0.0000000000000000E+000,-5.9986440575459571E-002, 0.0000000000000000E+000
 1.7816084732967769E+002, 1.1194176182564963E+003, 0.0000000000000000E+000,-6.0609196059277601E-002, 0.0000000000000000E+000
 1.7910730514396809E+002, 1.1253643880891111E+003, 0.0000000000000000E+000,-6.1238349586178603E-002, 0.0000000000000000E+000
 1.8005879090018655E+002, 1.1313427494125735E+003, 0.0000000000000000E+000,-6.1873964361577181E-002, 0.0000000000000000E+000
 1.8101533130866255E+002, 1.1373528700528334E+003, 0.0000000000000000E+000,-6.2516104161826985E-002, 0.0000000000000000E+000
 1.8197695322162090E+002, 1.1433949187273954E+003, 0.0000000000000000E+000,-6.3164833337842050E-002, 0.0000000000000000E+000
 1.8294368363393562E+002, 1.1494690650500547E+003, 0.0000000000000000E+000,-6.3820216819029774E-002, 0.0000000000000000E+000
 1.8391554968388769E+002, 1.1555754795356604E+003, 0.0000000000000000E+000,-6.4482320117212388E-002, 0.0000000000000000E+000
 1.8489257865392690E+002, 1.1617143336048996E+003, 0.0000000000000000E+000,-6.5151209331132887E-002, 0.0000000000000000E+000
 1.8587479797143774E+002, 1.1678857995891117E+003, 0.0000000000000000E+000,-6.5826951149649010E-002, 0.0000000000000000E+000
 1.8686223520950935E+002, 1.1740900507351250E+003, 0.0000000000000000E+000,-6.6509612856419348E-002, 0.0000000000000000E+000
 1.8785491808770954E+002, 1.1803272612101212E+003, 0.0000000000000000E+000,-6.7199262333372145E-002, 0.0000000000000000E+000
 1.8885287447286294E+002, 1.1865976061065232E+003, 0.0000000000000000E+000,-6.7895968064782763E-002, 0.0000000000000000E+000
 1.8985613237983333E+002, 1.1929012614469113E+003, 0.0000000000000000E+000,-6.8599799141729464E-002, 0.0000000000000000E+000
 1.9086471997231001E+002, 1.1992384041889643E+003, 0.0000000000000000E+000,-6.9310825265328613E-002, 0.0000000000000000E+000
 1.9187866556359845E+002, 1.2056092122304274E+003, 0.0000000000000000E+000,-7.0029116751079548E-002, 0.0000000000000000E+000
 1.9289799761741511E+002, 1.2120138644141055E+003, 0.0000000000000000E+000,-7.0754744532843375E-002, 0.0000000000000000E+000
 1.9392274474868654E+002, 1.2184525405328845E+003, 0.0000000000000000E+000,-7.1487780166551829E-002, 0.0000000000000000E+000
 1.9495293572435250E+002, 1.2249254213347779E+003, 0.0000000000000000E+000,-7.2228295834528486E-002, 0.0000000000000000E+000
 1.9598859946417369E+002, 1.2314326885280011E+003, 0.0000000000000000E+000,-7.2976364348779119E-002, 0.0000000000000000E+000
 1.9702976504154350E+002, 1.2379745247860722E+003, 0.0000000000000000E+000,-7.3732059155436416E-002, 0.0000000000000000E+000
 1.9807646168430415E+002, 1.2445511137529402E+003, 0.0000000000000000E+000,-7.4495454338686914E-002, 0.0000000000000000E+000
 1.9912871877556728E+002, 1.2511626400481402E+003, 0.0000000000000000E+000,-7.5266624624117887E-002, 0.0000000000000000E+000
 2.0018656585453869E+002, 1.2578092892719760E+003, 0.0000000000000000E+000,-7.6045645382963711E-002, 0.0000000000000000E+000
 2.0125003261734759E+002, 1.2644912480107309E+003, 0.0000000000000000E+000,-7.6832592635882629E-002, 0.0000000000000000E+000
 2.0231914891788034E+002, 1.2712087038419045E+003, 0.0000000000000000E+000,-7.7627543056929510E-002, 0.0000000000000000E+000
 2.0339394476861835E+002, 1.2779618453394792E+003, 0.0000000000000000E+000,-7.8430573977015458E-002, 0.0000000000000000E+000
 2.0447445034148078E+002, 1.2847508620792139E+003, 0.0000000000000000E+000,-7.9241763388039621E-002, 0.0000000000000000E+000
 2.0556069596867133E+002, 1.2915759446439656E+003, 0.0000000000000000E+000,-8.0061189946182484E-002, 0.0000000000000000E+000
 2.0665271214352993E+002, 1.2984372846290396E+003, 0.0000000000000000E+000,-8.0888932976397321E-002, 0.0000000000000000E+000
 2.0775052952138859E+002, 1.3053350746475676E+003, 0.0000000000000000E+000,-8.1725072475384380E-002, 0.0000000000000000E+000
 2.0885417892043210E+002, 1.3122695083359154E+003, 0.0000000000000000E+000,-8.2569689115598324E-002, 0.0000000000000000E+000
 2.0996369132256311E+002, 1.3192407803591186E+003, 0.0000000000000000E+000,-8.3422864248929002E-002, 0.0000000000000000E+000
 2.1107909787427181E+002, 1.3262490864163465E+003, 0.0000000000000000E+000,-8.4284679910225813E-002, 0.0000000000000000E+000
 2.1220042988751035E+002, 1.3332946232463969E+003, 0.0000000000000000E+000,-8.5155218821076198E-002, 0.0000000000000000E+000
 2.1332771884057181E+002, 1.3403775886332185E+003, 0.0000000000000000E+000,-8.6034564392991689E-002, 0.0000000000000000E+000
 2.1446099637897387E+002, 1.3474981814114631E+003, 0.0000000000000000E+000,-8.6922800731632693E-002, 0.0000000000000000E+000
 2.1560029431634717E+002, 1.3546566014720670E+003, 0.0000000000000000E+000,-8.7820012639328288E-002, 0.0000000000000000E+000
 2.1674564463532840E+002, 1.3618530497678632E+003, 0.0000000000000000E+000,-8.8726285619338277E-002, 0.0000000000000000E+000
 2.1789707948845813E+002, 1.3690877283192226E+003, 0.0000000000000000E+000,-8.9641705879058689E-002, 0.0000000000000000E+000
 2.1905463119908333E+002, 1.3763608402197233E+003, 0.0000000000000000E+000,-9.0566360333279985E-002, 0.0000000000000000E+000
 2.2021833226226488E+002, 1.3836725896418550E+003, 0.0000000000000000E+000,-9.1500336607515165E-002, 0.0000000000000000E+000
 2.2138821534568967E+002, 1.3910231818427476E+003, 0.0000000000000000E+000,-9.2443723041391146E-002, 0.0000000000000000E+000
 2.2256431329058773E+002, 1.3984128231699351E+003, 0.0000000000000000E+000,-9.3396608691873592E-002, 0.0000000000000000E+000
