
Label=phase_vs_2_pi_freq
LabelX=2*PI*F
LabelY=ph(v(V_out))
Data Point Count=1001
F,2*PI*F,2*PI*F,ph(v(V_out)),ph(v(V_out))
 1.0000000000000000E+002, 6.2831853071795865E+002, 0.0000000000000000E+000,-2.0686630639683074E+001, 0.0000000000000000E+000
 1.0053123782720847E+002, 6.3165639642849294E+002, 0.0000000000000000E+000,-2.0796486673697007E+001, 0.0000000000000000E+000
 1.0106529779070752E+002, 6.3501199414430300E+002, 0.0000000000000000E+000,-2.0906925689414415E+001, 0.0000000000000000E+000
 1.0160219488275264E+002, 6.3838541806450837E+002, 0.0000000000000000E+000,-2.1017950774334349E+001, 0.0000000000000000E+000
 1.0214194417524389E+002, 6.4177676288864996E+002, 0.0000000000000000E+000,-2.1129565032213577E+001, 0.0000000000000000E+000
 1.0268456082014895E+002, 6.4518612381934850E+002, 0.0000000000000000E+000,-2.1241771583152541E+001, 0.0000000000000000E+000
 1.0323006004992847E+002, 6.4861359656497689E+002, 0.0000000000000000E+000,-2.1354573563677583E+001, 0.0000000000000000E+000
 1.0377845717796372E+002, 6.5205927734234751E+002, 0.0000000000000000E+000,-2.1467974126829070E+001, 0.0000000000000000E+000
 1.0432976759898641E+002, 6.5552326287941230E+002, 0.0000000000000000E+000,-2.1581976442245058E+001, 0.0000000000000000E+000
 1.0488400678951092E+002, 6.5900565041797893E+002, 0.0000000000000000E+000,-2.1696583696247266E+001, 0.0000000000000000E+000
 1.0544119030826870E+002, 6.6250653771644045E+002, 0.0000000000000000E+000,-2.1811799091928869E+001, 0.0000000000000000E+000
 1.0600133379664510E+002, 6.6602602305251935E+002, 0.0000000000000000E+000,-2.1927625849238883E+001, 0.0000000000000000E+000
 1.0656445297911840E+002, 6.6956420522602662E+002, 0.0000000000000000E+000,-2.2044067205072643E+001, 0.0000000000000000E+000
 1.0713056366370127E+002, 6.7312118356163501E+002, 0.0000000000000000E+000,-2.2161126413357490E+001, 0.0000000000000000E+000
 1.0769968174238450E+002, 6.7669705791166780E+002, 0.0000000000000000E+000,-2.2278806745140482E+001, 0.0000000000000000E+000
 1.0827182319158318E+002, 6.8029192865890138E+002, 0.0000000000000000E+000,-2.2397111488679410E+001, 0.0000000000000000E+000
 1.0884700407258515E+002, 6.8390589671938358E+002, 0.0000000000000000E+000,-2.2516043949528886E+001, 0.0000000000000000E+000
 1.0942524053200187E+002, 6.8753906354526623E+002, 0.0000000000000000E+000,-2.2635607450631838E+001, 0.0000000000000000E+000
 1.1000654880222172E+002, 6.9119153112765355E+002, 0.0000000000000000E+000,-2.2755805332409828E+001, 0.0000000000000000E+000
 1.1059094520186567E+002, 6.9486340199946505E+002, 0.0000000000000000E+000,-2.2876640952850710E+001, 0.0000000000000000E+000
 1.1117844613624537E+002, 6.9855477923831393E+002, 0.0000000000000000E+000,-2.2998117687602864E+001, 0.0000000000000000E+000
 1.1176906809782371E+002, 7.0226576646940055E+002, 0.0000000000000000E+000,-2.3120238930064001E+001, 0.0000000000000000E+000
 1.1236282766667775E+002, 7.0599646786842152E+002, 0.0000000000000000E+000,-2.3243008091474014E+001, 0.0000000000000000E+000
 1.1295974151096421E+002, 7.0974698816449427E+002, 0.0000000000000000E+000,-2.3366428601007197E+001, 0.0000000000000000E+000
 1.1355982638738736E+002, 7.1351743264309698E+002, 0.0000000000000000E+000,-2.3490503905863825E+001, 0.0000000000000000E+000
 1.1416309914166943E+002, 7.1730790714902378E+002, 0.0000000000000000E+000,-2.3615237471365326E+001, 0.0000000000000000E+000
 1.1476957670902350E+002, 7.2111851808935694E+002, 0.0000000000000000E+000,-2.3740632781045594E+001, 0.0000000000000000E+000
