
Label=dB(V(V_filt)) vs 2*PI*F
LabelX=2*PI*F
LabelY=dB(V(V_filt))
Data Point Count=1001
F,2*PI*F,2*PI*F,dB(V(V_filt)),dB(V(V_filt))
 1.0000000000000000E+001, 6.2831853071795862E+001, 0.0000000000000000E+000,-3.1686650206048435E-003, 0.0000000000000000E+000
 1.0073400272917276E+001, 6.3293040588132662E+001, 0.0000000000000000E+000,-3.2095825754915436E-003, 0.0000000000000000E+000
 1.0147339305840985E+001, 6.3757613233425978E+001, 0.0000000000000000E+000,-3.2511029279245571E-003, 0.0000000000000000E+000
 1.0221821053284279E+001, 6.4225595854614738E+001, 0.0000000000000000E+000,-3.2932349572261784E-003, 0.0000000000000000E+000
 1.0296849498786541E+001, 6.4697013481015077E+001, 0.0000000000000000E+000,-3.3359876733592185E-003, 0.0000000000000000E+000
 1.0372428655126447E+001, 6.5171891325659004E+001, 0.0000000000000000E+000,-3.3793702189981326E-003, 0.0000000000000000E+000
 1.0448562564536573E+001, 6.5650254786642847E+001, 0.0000000000000000E+000,-3.4233918714692410E-003, 0.0000000000000000E+000
 1.0525255298919596E+001, 6.6132129448485685E+001, 0.0000000000000000E+000,-3.4680620446478441E-003, 0.0000000000000000E+000
 1.0602510960066068E+001, 6.6617541083497642E+001, 0.0000000000000000E+000,-3.5133902911788206E-003, 0.0000000000000000E+000
 1.0680333679873796E+001, 6.7106515653158311E+001, 0.0000000000000000E+000,-3.5593863041968642E-003, 0.0000000000000000E+000
 1.0758727620568827E+001, 6.7599079309505242E+001, 0.0000000000000000E+000,-3.6060599196808671E-003, 0.0000000000000000E+000
 1.0837696974928066E+001, 6.8095258396532671E+001, 0.0000000000000000E+000,-3.6534211184179339E-003, 0.0000000000000000E+000
 1.0917245966503513E+001, 6.8595079451600469E+001, 0.0000000000000000E+000,-3.7014800281809446E-003, 0.0000000000000000E+000
 1.0997378849848152E+001, 6.9098569206853441E+001, 0.0000000000000000E+000,-3.7502469258881548E-003, 0.0000000000000000E+000
 1.1078099910743505E+001, 6.9605754590651074E+001, 0.0000000000000000E+000,-3.7997322397101008E-003, 0.0000000000000000E+000
 1.1159413466428848E+001, 7.0116662729007757E+001, 0.0000000000000000E+000,-3.8499465514441212E-003, 0.0000000000000000E+000
 1.1241323865832110E+001, 7.0631320947043534E+001, 0.0000000000000000E+000,-3.9009005986461566E-003, 0.0000000000000000E+000
 1.1323835489802466E+001, 7.1149756770445606E+001, 0.0000000000000000E+000,-3.9526052770224723E-003, 0.0000000000000000E+000
 1.1406952751344651E+001, 7.1671997926940463E+001, 0.0000000000000000E+000,-4.0050716426992729E-003, 0.0000000000000000E+000
 1.1490680095854970E+001, 7.2198072347776858E+001, 0.0000000000000000E+000,-4.0583109146017657E-003, 0.0000000000000000E+000
 1.1575022001359057E+001, 7.2728008169219677E+001, 0.0000000000000000E+000,-4.1123344767979679E-003, 0.0000000000000000E+000
 1.1659982978751382E+001, 7.3261833734054747E+001, 0.0000000000000000E+000,-4.1671538810204873E-003, 0.0000000000000000E+000
 1.1745567572036498E+001, 7.3799577593104729E+001, 0.0000000000000000E+000,-4.2227808490797542E-003, 0.0000000000000000E+000
 1.1831780358572077E+001, 7.4341268506756094E+001, 0.0000000000000000E+000,-4.2792272753587740E-003, 0.0000000000000000E+000
 1.1918625949313723E+001, 7.4886935446497333E+001, 0.0000000000000000E+000,-4.3365052293604786E-003, 0.0000000000000000E+000
 1.2006108989061580E+001, 7.5436607596468477E+001, 0.0000000000000000E+000,-4.3946269583472423E-003, 0.0000000000000000E+000
 1.2094234156708749E+001, 7.5990314355021908E+001, 0.0000000000000000E+000,-4.4536048898043690E-003, 0.0000000000000000E+000
 1.2183006165491536E+001, 7.6548085336294733E+001, 0.0000000000000000E+000,-4.5134516342794258E-003, 0.0000000000000000E+000
 1.2272429763241529E+001, 7.7109950371792621E+001, 0.0000000000000000E+000,-4.5741799879240163E-003, 0.0000000000000000E+000
 1.2362509732639532E+001, 7.7675939511985348E+001, 0.0000000000000000E+000,-4.6358029353149553E-003, 0.0000000000000000E+000
 1.2453250891471356E+001, 7.8246083027913912E+001, 0.0000000000000000E+000,-4.6983336521756961E-003, 0.0000000000000000E+000
 1.2544658092885488E+001, 7.8820411412809591E+001, 0.0000000000000000E+000,-4.7617855082122138E-003, 0.0000000000000000E+000
 1.2636736225652660E+001, 7.9398955383724811E+001, 0.0000000000000000E+000,-4.8261720699717178E-003, 0.0000000000000000E+000
 1.2729490214427313E+001, 7.9981745883176018E+001, 0.0000000000000000E+000,-4.8915071037029636E-003, 0.0000000000000000E+000
 1.2822925020010990E+001, 8.0568814080798560E+001, 0.0000000000000000E+000,-4.9578045783233680E-003, 0.0000000000000000E+000
 1.2917045639617648E+001, 8.1160191375013738E+001, 0.0000000000000000E+000,-5.0250786684543584E-003, 0.0000000000000000E+000
 1.3011857107140933E+001, 8.1755909394708183E+001, 0.0000000000000000E+000,-5.0933437573001360E-003, 0.0000000000000000E+000
 1.3107364493423409E+001, 8.2356000000925363E+001, 0.0000000000000000E+000,-5.1626144398282227E-003, 0.0000000000000000E+000
 1.3203572906527759E+001, 8.2960495288569675E+001, 0.0000000000000000E+000,-5.2329055259266273E-003, 0.0000000000000000E+000
 1.3300487492009989E+001, 8.3569427588123020E+001, 0.0000000000000000E+000,-5.3042320434102978E-003, 0.0000000000000000E+000
 1.3398113433194624E+001, 8.4182829467373907E+001, 0.0000000000000000E+000,-5.3766092413708947E-003, 0.0000000000000000E+000
 1.3496455951451935E+001, 8.4800733733159277E+001, 0.0000000000000000E+000,-5.4500525933508168E-003, 0.0000000000000000E+000
 1.3595520306477193E+001, 8.5423173433119203E+001, 0.0000000000000000E+000,-5.5245778006550754E-003, 0.0000000000000000E+000
 1.3695311796571973E+001, 8.6050181857464281E+001, 0.0000000000000000E+000,-5.6002007957325455E-003, 0.0000000000000000E+000
 1.3795835758927531E+001, 8.6681792540756192E+001, 0.0000000000000000E+000,-5.6769377455639040E-003, 0.0000000000000000E+000
 1.3897097569910251E+001, 8.7318039263701223E+001, 0.0000000000000000E+000,-5.7548050551054766E-003, 0.0000000000000000E+000
 1.3999102645349195E+001, 8.7958956054956943E+001, 0.0000000000000000E+000,-5.8338193707099155E-003, 0.0000000000000000E+000
 1.4101856440825756E+001, 8.8604577192952206E+001, 0.0000000000000000E+000,-5.9139975839029406E-003, 0.0000000000000000E+000
 1.4205364451965442E+001, 8.9254937207720459E+001, 0.0000000000000000E+000,-5.9953568347152868E-003, 0.0000000000000000E+000
 1.4309632214731806E+001, 8.9910070882746567E+001, 0.0000000000000000E+000,-6.0779145154527970E-003, 0.0000000000000000E+000
 1.4414665305722524E+001, 9.0570013256827096E+001, 0.0000000000000000E+000,-6.1616882744772337E-003, 0.0000000000000000E+000
 1.4520469342467647E+001, 9.1234799625944348E+001, 0.0000000000000000E+000,-6.2466960198936201E-003, 0.0000000000000000E+000
 1.4627049983730055E+001, 9.1904465545154082E+001, 0.0000000000000000E+000,-6.3329559233438843E-003, 0.0000000000000000E+000
 1.4734412929808098E+001, 9.2579046830487158E+001, 0.0000000000000000E+000,-6.4204864239676453E-003, 0.0000000000000000E+000
 1.4842563922840474E+001, 9.3258579560865073E+001, 0.0000000000000000E+000,-6.5093062322532161E-003, 0.0000000000000000E+000
 1.4951508747113335E+001, 9.3943100080029566E+001, 0.0000000000000000E+000,-6.5994343340239703E-003, 0.0000000000000000E+000
 1.5061253229369653E+001, 9.4632644998486498E+001, 0.0000000000000000E+000,-6.6908899946479406E-003, 0.0000000000000000E+000
 1.5171803239120848E+001, 9.5327251195463774E+001, 0.0000000000000000E+000,-6.7836927628607624E-003, 0.0000000000000000E+000
 1.5283164688960717E+001, 9.6026955820883842E+001, 0.0000000000000000E+000,-6.8778624752075940E-003, 0.0000000000000000E+000
 1.5395343534881658E+001, 9.6731796297350670E+001, 0.0000000000000000E+000,-6.9734192601119821E-003, 0.0000000000000000E+000
 1.5508345776593211E+001, 9.7441810322151056E+001, 0.0000000000000000E+000,-7.0703835422192517E-003, 0.0000000000000000E+000
 1.5622177457842955E+001, 9.8157035869270999E+001, 0.0000000000000000E+000,-7.1687760467085493E-003, 0.0000000000000000E+000
 1.5736844666739735E+001, 9.8877511191426535E+001, 0.0000000000000000E+000,-7.2686178038071474E-003, 0.0000000000000000E+000
 1.5852353536079283E+001, 9.9603274822109711E+001, 0.0000000000000000E+000,-7.3699301531933645E-003, 0.0000000000000000E+000
 1.5968710243672220E+001, 1.0033436557764944E+002, 0.0000000000000000E+000,-7.4727347485072509E-003, 0.0000000000000000E+000
 1.6085921012674465E+001, 1.0107082255928756E+002, 0.0000000000000000E+000,-7.5770535620771854E-003, 0.0000000000000000E+000
 1.6203992111920073E+001, 1.0181268515527012E+002, 0.0000000000000000E+000,-7.6829088895120695E-003, 0.0000000000000000E+000
 1.6322929856256504E+001, 1.0255999304295386E+002, 0.0000000000000000E+000,-7.7903233545124333E-003, 0.0000000000000000E+000
 1.6442740606882385E+001, 1.0331278619092855E+002, 0.0000000000000000E+000,-7.8993199136804353E-003, 0.0000000000000000E+000
 1.6563430771687699E+001, 1.0407110486115438E+002, 0.0000000000000000E+000,-8.0099218612786263E-003, 0.0000000000000000E+000
 1.6685006805596529E+001, 1.0483498961111552E+002, 0.0000000000000000E+000,-8.1221528344741761E-003, 0.0000000000000000E+000
 1.6807475210912269E+001, 1.0560448129598909E+002, 0.0000000000000000E+000,-8.2360368180995659E-003, 0.0000000000000000E+000
 1.6930842537665402E+001, 1.0637962107083040E+002, 0.0000000000000000E+000,-8.3515981499191379E-003, 0.0000000000000000E+000
 1.7055115383963809E+001, 1.0716045039277394E+002, 0.0000000000000000E+000,-8.4688615256834302E-003, 0.0000000000000000E+000
 1.7180300396345668E+001, 1.0794701102325072E+002, 0.0000000000000000E+000,-8.5878520046161668E-003, 0.0000000000000000E+000
 1.7306404270134927E+001, 1.0873934503022183E+002, 0.0000000000000000E+000,-8.7085950144903078E-003, 0.0000000000000000E+000
 1.7433433749799388E+001, 1.0953749479042823E+002, 0.0000000000000000E+000,-8.8311163571860966E-003, 0.0000000000000000E+000
 1.7561395629311441E+001, 1.1034150299165745E+002, 0.0000000000000000E+000,-8.9554422142205745E-003, 0.0000000000000000E+000
 1.7690296752511415E+001, 1.1115141263502647E+002, 0.0000000000000000E+000,-9.0815991521501199E-003, 0.0000000000000000E+000
 1.7820144013473609E+001, 1.1196726703728164E+002, 0.0000000000000000E+000,-9.2096141284272477E-003, 0.0000000000000000E+000
 1.7950944356875024E+001, 1.1278910983311546E+002, 0.0000000000000000E+000,-9.3395144970552912E-003, 0.0000000000000000E+000
 1.8082704778366772E+001, 1.1361698497750019E+002, 0.0000000000000000E+000,-9.4713280143663894E-003, 0.0000000000000000E+000
 1.8215432324948239E+001, 1.1445093674803887E+002, 0.0000000000000000E+000,-9.6050828449701208E-003, 0.0000000000000000E+000
 1.8349134095343977E+001, 1.1529100974733326E+002, 0.0000000000000000E+000,-9.7408075678198196E-003, 0.0000000000000000E+000
 1.8483817240383374E+001, 1.1613724890536955E+002, 0.0000000000000000E+000,-9.8785311821079670E-003, 0.0000000000000000E+000
 1.8619488963383095E+001, 1.1698969948192112E+002, 0.0000000000000000E+000,-1.0018283113688747E-002, 0.0000000000000000E+000
 1.8756156520532350E+001, 1.1784840706896945E+002, 0.0000000000000000E+000,-1.0160093221158980E-002, 0.0000000000000000E+000
 1.8893827221280972E+001, 1.1871341759314231E+002, 0.0000000000000000E+000,-1.0303991802222152E-002, 0.0000000000000000E+000
 1.9032508428730363E+001, 1.1958477731817025E+002, 0.0000000000000000E+000,-1.0450009600231375E-002, 0.0000000000000000E+000
 1.9172207560027282E+001, 1.2046253284736081E+002, 0.0000000000000000E+000,-1.0598177810689304E-002, 0.0000000000000000E+000
 1.9312932086760551E+001, 1.2134673112609107E+002, 0.0000000000000000E+000,-1.0748528087806511E-002, 0.0000000000000000E+000
 1.9454689535360657E+001, 1.2223741944431853E+002, 0.0000000000000000E+000,-1.0901092551345259E-002, 0.0000000000000000E+000
 1.9597487487502292E+001, 1.2313464543911019E+002, 0.0000000000000000E+000,-1.1055903793404171E-002, 0.0000000000000000E+000
 1.9741333580509849E+001, 1.2403845709719046E+002, 0.0000000000000000E+000,-1.1212994885348531E-002, 0.0000000000000000E+000
 1.9886235507765893E+001, 1.2494890275750764E+002, 0.0000000000000000E+000,-1.1372399384882461E-002, 0.0000000000000000E+000
 2.0032201019122617E+001, 1.2586603111381916E+002, 0.0000000000000000E+000,-1.1534151343050743E-002, 0.0000000000000000E+000
 2.0179237921316354E+001, 1.2678989121729605E+002, 0.0000000000000000E+000,-1.1698285311771865E-002, 0.0000000000000000E+000
 2.0327354078385081E+001, 1.2772053247914619E+002, 0.0000000000000000E+000,-1.1864836350782372E-002, 0.0000000000000000E+000
 2.0476557412089040E+001, 1.2865800467325710E+002, 0.0000000000000000E+000,-1.2033840035462328E-002, 0.0000000000000000E+000
 2.0626855902334402E+001, 1.2960235793885803E+002, 0.0000000000000000E+000,-1.2205332464147586E-002, 0.0000000000000000E+000
 2.0778257587600070E+001, 1.3055364278320152E+002, 0.0000000000000000E+000,-1.2379350265934293E-002, 0.0000000000000000E+000
 2.0930770565367602E+001, 1.3151191008426468E+002, 0.0000000000000000E+000,-1.2555930608418562E-002, 0.0000000000000000E+000
 2.1084402992554292E+001, 1.3247721109347043E+002, 0.0000000000000000E+000,-1.2735111205610938E-002, 0.0000000000000000E+000
 2.1239163085949425E+001, 1.3344959743842847E+002, 0.0000000000000000E+000,-1.2916930325967847E-002, 0.0000000000000000E+000
 2.1395059122653748E+001, 1.3442912112569661E+002, 0.0000000000000000E+000,-1.3101426800431082E-002, 0.0000000000000000E+000
 2.1552099440522152E+001, 1.3541583454356217E+002, 0.0000000000000000E+000,-1.3288640030770005E-002, 0.0000000000000000E+000
 2.1710292438609613E+001, 1.3640979046484398E+002, 0.0000000000000000E+000,-1.3478609997968773E-002, 0.0000000000000000E+000
 2.1869646577620397E+001, 1.3741104204971481E+002, 0.0000000000000000E+000,-1.3671377270640403E-002, 0.0000000000000000E+000
 2.2030170380360570E+001, 1.3841964284854444E+002, 0.0000000000000000E+000,-1.3866983013702547E-002, 0.0000000000000000E+000
 2.2191872432193826E+001, 1.3943564680476396E+002, 0.0000000000000000E+000,-1.4065468997055294E-002, 0.0000000000000000E+000
 2.2354761381500666E+001, 1.4045910825775061E+002, 0.0000000000000000E+000,-1.4266877604543263E-002, 0.0000000000000000E+000
 2.2518845940140942E+001, 1.4149008194573423E+002, 0.0000000000000000E+000,-1.4471251842926882E-002, 0.0000000000000000E+000
 2.2684134883919786E+001, 1.4252862300872471E+002, 0.0000000000000000E+000,-1.4678635350895834E-002, 0.0000000000000000E+000
 2.2850637053056989E+001, 1.4357478699146111E+002, 0.0000000000000000E+000,-1.4889072408519988E-002, 0.0000000000000000E+000
 2.3018361352659792E+001, 1.4462862984638244E+002, 0.0000000000000000E+000,-1.5102607946556497E-002, 0.0000000000000000E+000
 2.3187316753199163E+001, 1.4569020793662006E+002, 0.0000000000000000E+000,-1.5319287555897228E-002, 0.0000000000000000E+000
 2.3357512290989579E+001, 1.4675957803901233E+002, 0.0000000000000000E+000,-1.5539157497452379E-002, 0.0000000000000000E+000
 2.3528957068672305E+001, 1.4783679734714110E+002, 0.0000000000000000E+000,-1.5762264711785570E-002, 0.0000000000000000E+000
 2.3701660255702247E+001, 1.4892192347439072E+002, 0.0000000000000000E+000,-1.5988656829143039E-002, 0.0000000000000000E+000
 2.3875631088838357E+001, 1.5001501445702931E+002, 0.0000000000000000E+000,-1.6218382179503332E-002, 0.0000000000000000E+000
 2.4050878872637654E+001, 1.5111612875731285E+002, 0.0000000000000000E+000,-1.6451489802955889E-002, 0.0000000000000000E+000
 2.4227412979952849E+001, 1.5222532526661175E+002, 0.0000000000000000E+000,-1.6688029460003966E-002, 0.0000000000000000E+000
 2.4405242852433659E+001, 1.5334266330856079E+002, 0.0000000000000000E+000,-1.6928051642135157E-002, 0.0000000000000000E+000
 2.4584378001031762E+001, 1.5446820264223180E+002, 0.0000000000000000E+000,-1.7171607582438457E-002, 0.0000000000000000E+000
 2.4764828006509486E+001, 1.5560200346532991E+002, 0.0000000000000000E+000,-1.7418749266666277E-002, 0.0000000000000000E+000
 2.4946602519952208E+001, 1.5674412641741296E+002, 0.0000000000000000E+000,-1.7669529444093293E-002, 0.0000000000000000E+000
 2.5129711263284538E+001, 1.5789463258313478E+002, 0.0000000000000000E+000,-1.7924001638722271E-002, 0.0000000000000000E+000
 2.5314164029790284E+001, 1.5905358349551230E+002, 0.0000000000000000E+000,-1.8182220160669883E-002, 0.0000000000000000E+000
 2.5499970684636214E+001, 1.6022104113921642E+002, 0.0000000000000000E+000,-1.8444240117676921E-002, 0.0000000000000000E+000
 2.5687141165399698E+001, 1.6139706795388730E+002, 0.0000000000000000E+000,-1.8710117426692829E-002, 0.0000000000000000E+000
 2.5875685482600193E+001, 1.6258172683747367E+002, 0.0000000000000000E+000,-1.8979908825846104E-002, 0.0000000000000000E+000
 2.6065613720234641E+001, 1.6377508114959693E+002, 0.0000000000000000E+000,-1.9253671886369880E-002, 0.0000000000000000E+000
 2.6256936036316795E+001, 1.6497719471493988E+002, 0.0000000000000000E+000,-1.9531465024809673E-002, 0.0000000000000000E+000
 2.6449662663420508E+001, 1.6618813182666022E+002, 0.0000000000000000E+000,-1.9813347515377347E-002, 0.0000000000000000E+000
 2.6643803909227003E+001, 1.6740795724982914E+002, 0.0000000000000000E+000,-2.0099379502676876E-002, 0.0000000000000000E+000
 2.6839370157076171E+001, 1.6863673622489526E+002, 0.0000000000000000E+000,-2.0389622014036789E-002, 0.0000000000000000E+000
 2.7036371866521893E+001, 1.6987453447117389E+002, 0.0000000000000000E+000,-2.0684136972945820E-002, 0.0000000000000000E+000
 2.7234819573891460E+001, 1.7112141819036182E+002, 0.0000000000000000E+000,-2.0982987211633039E-002, 0.0000000000000000E+000
 2.7434723892849103E+001, 1.7237745407007822E+002, 0.0000000000000000E+000,-2.1286236484785826E-002, 0.0000000000000000E+000
 2.7636095514963628E+001, 1.7364270928743113E+002, 0.0000000000000000E+000,-2.1593949482721427E-002, 0.0000000000000000E+000
 2.7838945210280254E+001, 1.7491725151261042E+002, 0.0000000000000000E+000,-2.1906191845368610E-002, 0.0000000000000000E+000
 2.8043283827896623E+001, 1.7620114891250697E+002, 0.0000000000000000E+000,-2.2223030175799401E-002, 0.0000000000000000E+000
 2.8249122296543050E+001, 1.7749447015435854E+002, 0.0000000000000000E+000,-2.2544532054659810E-002, 0.0000000000000000E+000
 2.8456471625167030E+001, 1.7879728440942228E+002, 0.0000000000000000E+000,-2.2870766054136977E-002, 0.0000000000000000E+000
 2.8665342903522031E+001, 1.8010966135667425E+002, 0.0000000000000000E+000,-2.3201801752761576E-002, 0.0000000000000000E+000
 2.8875747302760615E+001, 1.8143167118653608E+002, 0.0000000000000000E+000,-2.3537709749804570E-002, 0.0000000000000000E+000
 2.9087696076031911E+001, 1.8276338460462901E+002, 0.0000000000000000E+000,-2.3878561680427093E-002, 0.0000000000000000E+000
 2.9301200559083465E+001, 1.8410487283555551E+002, 0.0000000000000000E+000,-2.4224430230708017E-002, 0.0000000000000000E+000
 2.9516272170867524E+001, 1.8545620762670853E+002, 0.0000000000000000E+000,-2.4575389152973179E-002, 0.0000000000000000E+000
 2.9732922414151751E+001, 1.8681746125210887E+002, 0.0000000000000000E+000,-2.4931513281501401E-002, 0.0000000000000000E+000
 2.9951162876134447E+001, 1.8818870651627063E+002, 0.0000000000000000E+000,-2.5292878548149343E-002, 0.0000000000000000E+000
 3.0171005229064253E+001, 1.8957001675809499E+002, 0.0000000000000000E+000,-2.5659561998417110E-002, 0.0000000000000000E+000
 3.0392461230864441E+001, 1.9096146585479266E+002, 0.0000000000000000E+000,-2.6031641807807260E-002, 0.0000000000000000E+000
 3.0615542725761760E+001, 1.9236312822583514E+002, 0.0000000000000000E+000,-2.6409197298251447E-002, 0.0000000000000000E+000
 3.0840261644919906E+001, 1.9377507883693488E+002, 0.0000000000000000E+000,-2.6792308954793027E-002, 0.0000000000000000E+000
 3.1066630007077642E+001, 1.9519739320405469E+002, 0.0000000000000000E+000,-2.7181058442688741E-002, 0.0000000000000000E+000
 3.1294659919191599E+001, 1.9663014739744656E+002, 0.0000000000000000E+000,-2.7575528624492942E-002, 0.0000000000000000E+000
 3.1524363577083800E+001, 1.9807341804572025E+002, 0.0000000000000000E+000,-2.7975803577619373E-002, 0.0000000000000000E+000
 3.1755753266093940E+001, 1.9952728233994159E+002, 0.0000000000000000E+000,-2.8381968611972945E-002, 0.0000000000000000E+000
 3.1988841361736441E+001, 2.0099181803776102E+002, 0.0000000000000000E+000,-2.8794110288010225E-002, 0.0000000000000000E+000
 3.2223640330362336E+001, 2.0246710346757217E+002, 0.0000000000000000E+000,-2.9212316434938171E-002, 0.0000000000000000E+000
 3.2460162729826010E+001, 2.0395321753270119E+002, 0.0000000000000000E+000,-2.9636676169223112E-002, 0.0000000000000000E+000
 3.2698421210156852E+001, 2.0545023971562688E+002, 0.0000000000000000E+000,-3.0067279913315995E-002, 0.0000000000000000E+000
 3.2938428514235810E+001, 2.0695825008223156E+002, 0.0000000000000000E+000,-3.0504219414701095E-002, 0.0000000000000000E+000
 3.3180197478476920E+001, 2.0847732928608335E+002, 0.0000000000000000E+000,-3.0947587765292328E-002, 0.0000000000000000E+000
 3.3423741033513856E+001, 2.1000755857274970E+002, 0.0000000000000000E+000,-3.1397479420869283E-002, 0.0000000000000000E+000
 3.3669072204891485E+001, 2.1154901978414279E+002, 0.0000000000000000E+000,-3.1853990221092900E-002, 0.0000000000000000E+000
 3.3916204113762539E+001, 2.1310179536289664E+002, 0.0000000000000000E+000,-3.2317217409543388E-002, 0.0000000000000000E+000
 3.4165149977589365E+001, 2.1466596835677646E+002, 0.0000000000000000E+000,-3.2787259654228296E-002, 0.0000000000000000E+000
 3.4415923110850841E+001, 2.1624162242312036E+002, 0.0000000000000000E+000,-3.3264217068312195E-002, 0.0000000000000000E+000
 3.4668536925754488E+001, 2.1782884183331353E+002, 0.0000000000000000E+000,-3.3748191231186907E-002, 0.0000000000000000E+000
 3.4923004932953795E+001, 2.1942771147729550E+002, 0.0000000000000000E+000,-3.4239285209708224E-002, 0.0000000000000000E+000
 3.5179340742270817E+001, 2.2103831686810020E+002, 0.0000000000000000E+000,-3.4737603579983393E-002, 0.0000000000000000E+000
 3.5437558063424071E+001, 2.2266074414642958E+002, 0.0000000000000000E+000,-3.5243252449207202E-002, 0.0000000000000000E+000
 3.5697670706761784E+001, 2.2429508008526076E+002, 0.0000000000000000E+000,-3.5756339478001699E-002, 0.0000000000000000E+000
 3.5959692584000521E+001, 2.2594141209448679E+002, 0.0000000000000000E+000,-3.6276973903020725E-002, 0.0000000000000000E+000
 3.6223637708969221E+001, 2.2759982822559181E+002, 0.0000000000000000E+000,-3.6805266559812616E-002, 0.0000000000000000E+000
 3.6489520198358711E+001, 2.2927041717636018E+002, 0.0000000000000000E+000,-3.7341329906070135E-002, 0.0000000000000000E+000
 3.6757354272476711E+001, 2.3095326829562046E+002, 0.0000000000000000E+000,-3.7885278045314399E-002, 0.0000000000000000E+000
 3.7027154256008394E+001, 2.3264847158802402E+002, 0.0000000000000000E+000,-3.8437226750643268E-002, 0.0000000000000000E+000
 3.7298934578782507E+001, 2.3435611771885885E+002, 0.0000000000000000E+000,-3.8997293489135200E-002, 0.0000000000000000E+000
 3.7572709776543135E+001, 2.3607629801889863E+002, 0.0000000000000000E+000,-3.9565597446380260E-002, 0.0000000000000000E+000
 3.7848494491727124E+001, 2.3780910448928736E+002, 0.0000000000000000E+000,-4.0142259551469016E-002, 0.0000000000000000E+000
 3.8126303474247202E+001, 2.3955462980646004E+002, 0.0000000000000000E+000,-4.0727402502304111E-002, 0.0000000000000000E+000
 3.8406151582280870E+001, 2.4131296732709919E+002, 0.0000000000000000E+000,-4.1321150791210910E-002, 0.0000000000000000E+000
 3.8688053783065044E+001, 2.4308421109312789E+002, 0.0000000000000000E+000,-4.1923630731211983E-002, 0.0000000000000000E+000
 3.8972025153696570E+001, 2.4486845583673954E+002, 0.0000000000000000E+000,-4.2534970482083531E-002, 0.0000000000000000E+000
 3.9258080881938604E+001, 2.4666579698546445E+002, 0.0000000000000000E+000,-4.3155300077459630E-002, 0.0000000000000000E+000
 3.9546236267032889E+001, 2.4847633066727354E+002, 0.0000000000000000E+000,-4.3784751451883465E-002, 0.0000000000000000E+000
 3.9836506720518024E+001, 2.5030015371571969E+002, 0.0000000000000000E+000,-4.4423458468357553E-002, 0.0000000000000000E+000
 4.0128907767053718E+001, 2.5213736367511669E+002, 0.0000000000000000E+000,-4.5071556946381298E-002, 0.0000000000000000E+000
 4.0423455045251117E+001, 2.5398805880575634E+002, 0.0000000000000000E+000,-4.5729184690235208E-002, 0.0000000000000000E+000
 4.0720164308509190E+001, 2.5585233808916354E+002, 0.0000000000000000E+000,-4.6396481517708726E-002, 0.0000000000000000E+000
 4.1019051425857285E+001, 2.5773030123339032E+002, 0.0000000000000000E+000,-4.7073589289414866E-002, 0.0000000000000000E+000
 4.1320132382803855E+001, 2.5962204867834862E+002, 0.0000000000000000E+000,-4.7760651938227587E-002, 0.0000000000000000E+000
 4.1623423282191439E+001, 2.6152768160118194E+002, 0.0000000000000000E+000,-4.8457815499375091E-002, 0.0000000000000000E+000
 4.1928940345057860E+001, 2.6344730192167691E+002, 0.0000000000000000E+000,-4.9165228140838249E-002, 0.0000000000000000E+000
 4.2236699911503806E+001, 2.6538101230771406E+002, 0.0000000000000000E+000,-4.9883040194241550E-002, 0.0000000000000000E+000
 4.2546718441566753E+001, 2.6732891618075899E+002, 0.0000000000000000E+000,-5.0611404186067119E-002, 0.0000000000000000E+000
 4.2859012516101309E+001, 2.6929111772139373E+002, 0.0000000000000000E+000,-5.1350474869593751E-002, 0.0000000000000000E+000
