
Label=ph(V(V_filt)) vs 2*PI*F
LabelX=2*PI*F
LabelY=ph(V(V_filt))
Data Point Count=1001
F,2*PI*F,2*PI*F,ph(V(V_filt)),ph(V(V_filt))
 1.0000000000000000E+001, 6.2831853071795862E+001, 0.0000000000000000E+000,-3.2407808217506440E+000, 0.0000000000000000E+000
 1.0073400272917276E+001, 6.3293040588132662E+001, 0.0000000000000000E+000,-3.2645661915036803E+000, 0.0000000000000000E+000
 1.0147339305840985E+001, 6.3757613233425978E+001, 0.0000000000000000E+000,-3.2885261010529678E+000, 0.0000000000000000E+000
 1.0221821053284279E+001, 6.4225595854614738E+001, 0.0000000000000000E+000,-3.3126618305169986E+000, 0.0000000000000000E+000
 1.0296849498786541E+001, 6.4697013481015077E+001, 0.0000000000000000E+000,-3.3369746693880100E+000, 0.0000000000000000E+000
 1.0372428655126447E+001, 6.5171891325659004E+001, 0.0000000000000000E+000,-3.3614659166002925E+000, 0.0000000000000000E+000
 1.0448562564536573E+001, 6.5650254786642847E+001, 0.0000000000000000E+000,-3.3861368805989853E+000, 0.0000000000000000E+000
 1.0525255298919596E+001, 6.6132129448485685E+001, 0.0000000000000000E+000,-3.4109888794093659E+000, 0.0000000000000000E+000
 1.0602510960066068E+001, 6.6617541083497642E+001, 0.0000000000000000E+000,-3.4360232407066493E+000, 0.0000000000000000E+000
 1.0680333679873796E+001, 6.7106515653158311E+001, 0.0000000000000000E+000,-3.4612413018862620E+000, 0.0000000000000000E+000
 1.0758727620568827E+001, 6.7599079309505242E+001, 0.0000000000000000E+000,-3.4866444101346454E+000, 0.0000000000000000E+000
 1.0837696974928066E+001, 6.8095258396532671E+001, 0.0000000000000000E+000,-3.5122339225005601E+000, 0.0000000000000000E+000
 1.0917245966503513E+001, 6.8595079451600469E+001, 0.0000000000000000E+000,-3.5380112059668889E+000, 0.0000000000000000E+000
 1.0997378849848152E+001, 6.9098569206853441E+001, 0.0000000000000000E+000,-3.5639776375229664E+000, 0.0000000000000000E+000
 1.1078099910743505E+001, 6.9605754590651074E+001, 0.0000000000000000E+000,-3.5901346042374245E+000, 0.0000000000000000E+000
 1.1159413466428848E+001, 7.0116662729007757E+001, 0.0000000000000000E+000,-3.6164835033315517E+000, 0.0000000000000000E+000
 1.1241323865832110E+001, 7.0631320947043534E+001, 0.0000000000000000E+000,-3.6430257422531893E+000, 0.0000000000000000E+000
 1.1323835489802466E+001, 7.1149756770445606E+001, 0.0000000000000000E+000,-3.6697627387511518E+000, 0.0000000000000000E+000
 1.1406952751344651E+001, 7.1671997926940463E+001, 0.0000000000000000E+000,-3.6966959209501655E+000, 0.0000000000000000E+000
 1.1490680095854970E+001, 7.2198072347776858E+001, 0.0000000000000000E+000,-3.7238267274263634E+000, 0.0000000000000000E+000
 1.1575022001359057E+001, 7.2728008169219677E+001, 0.0000000000000000E+000,-3.7511566072833102E+000, 0.0000000000000000E+000
 1.1659982978751382E+001, 7.3261833734054747E+001, 0.0000000000000000E+000,-3.7786870202285607E+000, 0.0000000000000000E+000
 1.1745567572036498E+001, 7.3799577593104729E+001, 0.0000000000000000E+000,-3.8064194366507902E+000, 0.0000000000000000E+000
 1.1831780358572077E+001, 7.4341268506756094E+001, 0.0000000000000000E+000,-3.8343553376974420E+000, 0.0000000000000000E+000
 1.1918625949313723E+001, 7.4886935446497333E+001, 0.0000000000000000E+000,-3.8624962153529530E+000, 0.0000000000000000E+000
 1.2006108989061580E+001, 7.5436607596468477E+001, 0.0000000000000000E+000,-3.8908435725175288E+000, 0.0000000000000000E+000
 1.2094234156708749E+001, 7.5990314355021908E+001, 0.0000000000000000E+000,-3.9193989230864821E+000, 0.0000000000000000E+000
 1.2183006165491536E+001, 7.6548085336294733E+001, 0.0000000000000000E+000,-3.9481637920301309E+000, 0.0000000000000000E+000
 1.2272429763241529E+001, 7.7109950371792621E+001, 0.0000000000000000E+000,-3.9771397154742618E+000, 0.0000000000000000E+000
 1.2362509732639532E+001, 7.7675939511985348E+001, 0.0000000000000000E+000,-4.0063282407811904E+000, 0.0000000000000000E+000
 1.2453250891471356E+001, 7.8246083027913912E+001, 0.0000000000000000E+000,-4.0357309266313628E+000, 0.0000000000000000E+000
 1.2544658092885488E+001, 7.8820411412809591E+001, 0.0000000000000000E+000,-4.0653493431055638E+000, 0.0000000000000000E+000
 1.2636736225652660E+001, 7.9398955383724811E+001, 0.0000000000000000E+000,-4.0951850717676930E+000, 0.0000000000000000E+000
 1.2729490214427313E+001, 7.9981745883176018E+001, 0.0000000000000000E+000,-4.1252397057481485E+000, 0.0000000000000000E+000
 1.2822925020010990E+001, 8.0568814080798560E+001, 0.0000000000000000E+000,-4.1555148498277781E+000, 0.0000000000000000E+000
